Product Name,Brand,Product Code,Availability,Price,Tax,Rating,Image Url,Product Url
Melesh_ Grounded Stew Spice (ማቁላያ),MELESH DENDIRE,137610001,99,ETB57.00,ETB49.00,0,https://helloomarket.com/image/cache/catalog/137610001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4862
Mulugeta - Homemade Cookies 200gm,,137910001,99,ETB43.00,ETB38.00,0,https://helloomarket.com/image/cache/catalog/137910001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4638
Mulugeta - Homemade Cookies 390gm,,137910002,98,ETB85.00,ETB74.00,0,https://helloomarket.com/image/cache/catalog/137910002-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4639
Mulumebet_Pure Organic Chili Pepper,Muluembet Gebeyehu,100025,2,ETB43.00,ETB38.00,0,https://helloomarket.com/image/cache/catalog/100025---285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2349
Mulutena _Tea spice,Muluye Kasa,102172,10,ETB41.00,ETB35.00,0,https://helloomarket.com/image/cache/catalog/102172_2-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=1633
MuluTena_Mustard Powder,,102178,8,ETB74.00,ETB65.00,0,https://helloomarket.com/image/cache/catalog/102178-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=1913
Negase_ Blended Cumin,NEGASE WEGARI,134410004,50,ETB70.00,ETB61.00,0,https://helloomarket.com/image/cache/catalog/134410004-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4865
Nutridense White Oats,,161310002,74,ETB123.00,ETB123.00,0,https://helloomarket.com/image/cache/catalog/161310002-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5132
Organic Black Cumin,MEAZA AERASH & FRIENDS TRADITIONAL CLOTH SALE PARTNERSHIP,167210001,12,ETB71.00,ETB71.00,0,https://helloomarket.com/image/cache/catalog/167210001-0-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5875
Rift Valley Chardonnay(750ml),Castel Winery Ethiopia,103306,2-3 Days,ETB714.00,ETB714.00,0,https://helloomarket.com/image/cache/catalog/103306-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=1893
Rift Valley Syrah (750ml),,103321,2-3 Days,ETB702.00,ETB702.00,0,https://helloomarket.com/image/cache/catalog/103321-01-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=1908
Riya Ginger powder,BEDRIA SHEMSU,110310002,195,ETB41.00,ETB35.00,0,https://helloomarket.com/image/cache/catalog/114210020-01-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3512
Semira White Teff Enjera ( Derkosh) 1.5 kg,Ansha yemam,0446-10001,8,ETB283.00,ETB247.00,0,https://helloomarket.com/image/cache/catalog/0446-10001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2397
Sewasew_ Black Fennel,Sewasew Heruy,102720,1,ETB21.00,ETB18.00,0,https://helloomarket.com/image/cache/catalog/102720-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=1800
